City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Tecoanapa,MX,83.21,clear sky,16.5167,-98.75,Hotel Manglares
94,Kuala Terengganu,MY,78.8,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
95,Marsh Harbour,BS,78.28,clear sky,26.5412,-77.0636,Abaco Beach Resort
97,Takoradi,GH,83.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
98,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
100,Gonzales,US,75.99,clear sky,30.2385,-90.9201,Hampton Inn Gonzales
101,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
102,Esmeraldas,BR,82.4,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
104,Houston,US,80.01,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
105,Castro,BR,79.92,clear sky,-24.7911,-50.0119,CHACARA BAILLY
113,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
115,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
118,Garautha,IN,84.07,few clouds,25.5667,79.3,P.S.K Automobiles garautha
120,Antalaha,MG,75.27,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
121,Axim,GH,82.38,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
122,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
126,Dhidhdhoo,MV,83.55,clear sky,6.8833,73.1,Dhidhoo beach
127,Anloga,GH,87.8,few clouds,5.7947,0.8973,Pin Drop Hotel
129,Cabo San Lucas,MX,78.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Bengkulu,ID,75.92,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
140,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
141,Buraydah,SA,75.2,clear sky,26.326,43.975,فندق راحة السلام
143,Kloulklubed,PW,78.8,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
144,Acarigua,VE,77.0,broken clouds,9.5545,-69.1956,Edificio La Corteza
146,Santa Rosa,PH,81.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
153,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
154,Camaguey,CU,89.6,few clouds,21.3808,-77.9169,Tararaco
155,Kavaratti,IN,83.77,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
158,Baguanos,CU,89.6,broken clouds,20.7517,-76.0269,Magalis y William
161,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
162,Inirida,CO,84.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
166,Geraldton,AU,75.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
171,Bajil,YE,82.27,clear sky,15.0584,43.2851,فندق الجلال
173,Isangel,VU,78.46,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
175,Miguel Calmon,BR,88.45,broken clouds,-11.4289,-40.595,Pousada Guiomar
180,Tabas,IR,76.32,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
185,Rio Grande,BR,80.6,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
186,Sonoita,MX,82.99,overcast clouds,31.85,-112.8333,Hotel Nora
