City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Paracuru,BR,-3.41,-39.0306,78.8,89,75,4.61,broken clouds
209,Airai,TL,-8.9266,125.4092,57.85,88,73,1.54,broken clouds
210,Moncton,CA,46.1159,-64.8019,50.0,61,75,17.27,broken clouds
211,Somerset East,ZA,-32.7217,25.588,64.35,72,84,7.92,broken clouds
212,Anadyr,RU,64.75,177.4833,-5.01,77,100,15.66,snow
213,Kaitangata,NZ,-46.2817,169.8464,52.88,97,79,4.12,broken clouds
214,Tiksi,RU,71.6872,128.8694,-0.63,76,96,6.96,overcast clouds
215,Cullman,US,34.1748,-86.8436,70.0,34,1,5.75,clear sky
216,Harper,LR,4.375,-7.7169,82.78,76,85,9.35,overcast clouds
217,Ostrovnoy,RU,68.0531,39.5131,34.09,83,62,28.3,broken clouds
218,Lebu,CL,-37.6167,-73.65,60.53,70,0,15.26,clear sky
219,Acarau,BR,-2.8856,-40.12,84.78,69,68,13.91,moderate rain
220,Torbay,CA,47.6666,-52.7314,36.0,100,90,4.61,moderate rain
221,Mahebourg,MU,-20.4081,57.7,78.8,89,40,5.75,light rain
222,Xuddur,SO,4.1213,43.8894,88.86,30,91,3.18,overcast clouds
223,Laguna,US,38.421,-121.4238,66.0,42,1,9.22,clear sky
224,Perehonivka,UA,48.5355,30.5192,49.21,50,0,7.45,clear sky
225,Bennington,US,42.8781,-73.1968,68.0,49,1,9.22,clear sky
226,Palu,ID,-0.8917,119.8707,75.79,95,84,2.39,light rain
227,Republic,US,37.12,-93.4802,68.0,36,1,14.97,clear sky
228,Taoudenni,ML,22.6783,-3.9836,96.98,10,12,7.67,few clouds
229,Tongchuan,CN,35.0806,109.0897,49.35,80,81,1.39,broken clouds
230,Hovd,MN,48.0056,91.6419,30.67,29,5,5.44,clear sky
231,La Ronge,CA,55.1001,-105.2842,30.2,64,100,10.36,overcast clouds
232,Nioro,GM,13.35,-15.75,102.04,13,0,12.44,clear sky
233,Saint-Augustin,CA,51.226,-58.6502,42.8,91,100,23.06,overcast clouds
234,Coacoyul,MX,17.8058,-99.11,89.04,20,0,4.59,clear sky
235,Vao,NC,-22.6667,167.4833,75.7,79,56,10.04,broken clouds
236,Khasan,RU,42.4308,130.6434,41.27,96,97,1.32,overcast clouds
237,Ust-Kut,RU,56.7938,105.7672,16.14,94,98,3.36,overcast clouds
238,Poli,TZ,-3.3333,36.8,75.2,83,20,5.75,light rain
239,Pacific Grove,US,36.6177,-121.9166,55.0,71,40,3.44,scattered clouds
240,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.42,51,91,4.5,overcast clouds
241,Belyy Yar,RU,53.6039,91.3903,28.4,64,85,2.24,overcast clouds
242,Necochea,AR,-38.5473,-58.7368,68.0,68,62,10.0,broken clouds
243,Sorland,NO,67.667,12.6934,35.6,80,75,11.5,broken clouds
244,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,3.44,clear sky
245,Masty,BY,53.4122,24.5387,53.11,55,92,13.76,overcast clouds
246,Andenes,NO,69.3143,16.1194,34.0,86,100,14.97,light snow
247,Shetpe,KZ,44.1667,52.1167,66.99,23,3,24.58,clear sky
248,Cururupu,BR,-1.8283,-44.8683,85.5,61,96,7.27,moderate rain
249,Lieto,FI,60.5103,22.4618,45.0,53,0,2.3,clear sky
250,Tacoronte,ES,28.4769,-16.4102,70.0,52,0,10.36,clear sky
251,Avera,US,33.194,-82.5271,73.4,88,90,15.05,overcast clouds
252,Pouembout,NC,-21.1333,164.9,73.13,93,87,5.44,overcast clouds
253,Prince Rupert,CA,54.3161,-130.3201,39.2,70,1,2.3,clear sky
254,Lavrentiya,RU,65.5833,-171.0,4.35,62,100,32.93,overcast clouds
255,Nhulunbuy,AU,-12.2333,136.7667,77.0,88,98,5.08,overcast clouds
256,Najran,SA,17.4924,44.1277,89.6,14,40,11.5,scattered clouds
257,Berlevag,NO,70.8578,29.0864,35.6,100,75,39.12,rain and snow
258,Maraa,BR,-1.8333,-65.3667,77.56,92,92,0.34,moderate rain
259,Maceio,BR,-9.6658,-35.7353,75.2,94,90,13.8,mist
260,Umm Lajj,SA,25.0213,37.2685,71.17,57,0,15.35,clear sky
261,Honiara,SB,-9.4333,159.95,76.59,87,99,2.71,light rain
262,Alofi,NU,-19.0595,-169.9187,68.0,100,13,1.14,few clouds
263,Montepuez,MZ,-13.1256,38.9997,69.71,97,95,5.61,overcast clouds
264,Khonsa,IN,27.0167,95.5667,65.79,59,24,4.03,few clouds
265,Bela,IN,25.9333,81.9833,84.52,15,76,7.76,broken clouds
266,Port-Gentil,GA,-0.7193,8.7815,78.8,94,40,8.72,scattered clouds
267,Dingle,PH,10.9995,122.6711,75.69,83,57,5.86,broken clouds
268,Ende,ID,-8.8432,121.6623,76.35,89,76,0.45,broken clouds
269,Nabire,ID,-3.3667,135.4833,75.25,91,43,4.12,scattered clouds
270,Waipawa,NZ,-41.4122,175.5153,63.0,88,75,13.8,broken clouds
271,Vostok,RU,46.4856,135.8833,40.44,75,98,6.8,overcast clouds
272,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,80,40,6.71,scattered clouds
273,Tuatapere,NZ,-46.1333,167.6833,46.99,97,30,1.99,scattered clouds
274,Calama,CL,-22.4667,-68.9333,71.6,15,0,18.41,clear sky
275,Dinan,FR,48.4167,-2.25,46.4,57,20,16.11,few clouds
276,Vitoria Da Conquista,BR,-14.8661,-40.8394,81.57,39,55,8.41,broken clouds
277,Thompson,CA,55.7435,-97.8558,21.2,79,90,14.97,overcast clouds
278,Emerald,AU,-23.5333,148.1667,68.0,37,0,16.11,clear sky
279,Pangnirtung,CA,66.1451,-65.7125,26.6,74,75,3.44,broken clouds
280,Timmins,CA,48.4669,-81.3331,64.4,52,75,12.66,broken clouds
281,Coahuayana,MX,18.7333,-103.6833,80.6,44,20,6.91,few clouds
282,Galesong,ID,-5.3166,119.3661,73.4,100,20,1.14,few clouds
283,Kruisfontein,ZA,-34.0033,24.7314,64.99,79,100,1.01,overcast clouds
284,Leh,IN,34.1667,77.5833,31.93,68,100,2.39,light snow
285,Asau,RO,46.4333,26.4,46.99,34,1,1.66,clear sky
286,Coquimbo,CL,-29.9533,-71.3436,60.8,77,20,16.11,few clouds
287,Plettenberg Bay,ZA,-34.0527,23.3716,62.85,85,100,2.39,overcast clouds
288,Palmer,US,42.1584,-72.3287,59.0,71,75,11.5,broken clouds
289,Bandarbeyla,SO,9.4942,50.8122,80.04,69,56,8.28,broken clouds
290,Kumano,JP,34.3442,132.5894,50.0,57,20,6.91,few clouds
291,Paamiut,GL,61.994,-49.6678,35.8,79,7,10.16,clear sky
292,Hounde,BF,11.5,-3.5167,101.91,14,35,6.8,scattered clouds
293,Akom,CM,2.6678,12.7109,69.96,95,99,5.55,moderate rain
294,Kushima,JP,31.4583,131.2333,57.0,67,72,10.0,broken clouds
295,Gasa,PS,31.5,34.4667,60.01,49,1,9.89,clear sky
296,Katsuura,JP,35.1333,140.3,53.6,82,20,4.61,few clouds
297,Itoman,JP,26.1247,127.6694,69.8,68,20,11.5,few clouds
298,Santa Maria,BR,-29.6842,-53.8069,75.2,78,75,8.05,broken clouds
299,Kitimat,CA,54.0524,-128.6534,42.01,69,80,1.01,broken clouds
